"TOA5","ExampleSite","CR3000","8675","OS32","EddyFlux.CR3"
"TIMESTAMP","RECORD","Ux","Uy","Uz","T_SONIC","CO2_density","H2O_density"
"2024-07-15 12:00:01.300",26,4.0916,-0.0449,-0.2052,25.8255,758.6183,11.9102
"2024-07-15 12:00:01.350",27,3.8084,0.4923,-0.1661,24.5526,753.2166,11.8027
"2024-07-15 12:00:01.400",28,3.9974,0.1673,0.0506,25.7037,750.4529,12.3220
"2024-07-15 12:00:01.450",29,2.9749,0.1903,-0.1265,24.3906,745.6092,11.8329
"2024-07-15 12:00:01.500",30,4.4580,-0.0653,0.0046,24.7579,748.3616,12.5014
"2024-07-15 12:00:01.550",31,4.2691,0.4675,-0.0232,24.6520,748.8807,12.1212
"2024-07-15 12:00:01.600",32,4.0883,-0.0169,0.0136,25.1141,762.5874,12.9384
"2024-07-15 12:00:01.650",33,3.5734,0.1425,-0.2195,24.7046,751.5780,12.6029
"2024-07-15 12:00:01.700",34,3.6355,0.0692,-0.3221,24.9187,744.6879,11.7353
"2024-07-15 12:00:01.750",35,3.5616,0.1811,-0.2637,24.2665,760.6462,11.3563
"2024-07-15 12:00:01.800",36,3.4516,0.5674,0.4358,24.4142,748.1588,12.1708
"2024-07-15 12:00:01.850",37,4.8643,0.0026,-0.0368,25.3887,752.1738,11.8119
"2024-07-15 12:00:01.900",38,3.9331,-0.0750,-0.0357,24.8668,751.1608,11.7223
"2024-07-15 12:00:01.950",39,4.2358,0.4025,0.0233,25.1759,750.2658,12.0000
"2024-07-15 12:00:02.000",40,3.6392,0.2633,-0.0146,26.0466,757.8668,12.1929
"2024-07-15 12:00:02.050",41,3.6185,-0.0225,0.1787,25.1314,752.4007,11.1277
"2024-07-15 12:00:02.100",42,4.4637,0.2909,-0.1666,24.7642,751.3186,12.0262
"2024-07-15 12:00:02.150",43,3.8539,0.1793,-0.0378,25.0763,757.3575,10.7167
"2024-07-15 12:00:02.200",44,3.8816,0.2353,0.0444,24.8140,741.2164,12.1640
"2024-07-15 12:00:02.250",45,4.8637,-0.1068,0.1296,24.8357,749.6934,11.4736
"2024-07-15 12:00:02.300",46,3.8328,0.4600,0.0874,25.8662,755.8871,12.2195
"2024-07-15 12:00:02.350",47,4.8720,0.2878,0.1242,24.8517,750.3327,11.6513
"2024-07-15 12:00:02.400",48,4.4948,-0.0357,0.1174,24.9047,755.8562,12.3754
"2024-07-15 12:00:02.450",49,4.9103,0.3462,-0.2358,24.9665,744.1400,11.7409
"2024-07-15 12:00:02.500",50,4.7556,0.3275,-0.1048,24.4931,750.1639,11.3917
"2024-07-15 12:00:02.550",51,3.6644,0.2624,0.1733,25.3044,738.5436,12.1522
"2024-07-15 12:00:02.600",52,4.0360,0.2828,0.2424,23.9684,747.0445,12.2955
"2024-07-15 12:00:02.650",53,3.2092,0.4952,0.0553,25.4233,747.1453,12.4069
"2024-07-15 12:00:02.700",54,4.5342,0.2466,0.0352,25.1352,745.6833,11.9262
"2024-07-15 12:00:02.750",55,3.9237,0.2767,0.1500,24.4707,749.3750,12.7407
"2024-07-15 12:00:02.800",56,3.6282,0.0355,0.0303,25.4222,750.0571,12.6645
"2024-07-15 12:00:02.850",57,4.4284,0.3684,0.0831,26.1638,748.9742,10.9982
"2024-07-15 12:00:02.900",58,4.8021,0.1085,0.0162,25.6548,741.9887,11.3742
"2024-07-15 12:00:02.950",59,3.1994,0.0412,0.0659,25.2621,751.3814,11.2936
"2024-07-15 12:00:03.000",60,2.8449,0.2109,-0.0708,25.2297,753.5098,12.0691
"2024-07-15 12:00:03.050",61,4.3801,0.2458,0.0795,24.6477,749.1019,12.0984
"2024-07-15 12:00:03.100",62,4.4103,0.1213,0.0782,24.8671,749.4123,12.4148
"2024-07-15 12:00:03.150",63,3.0035,-0.0593,-0.2223,23.8332,746.6087,12.3747
"2024-07-15 12:00:03.200",64,3.8576,0.2396,0.1634,25.6638,749.6543,12.6768
"2024-07-15 12:00:03.250",65,4.0461,0.0325,-0.0892,24.2597,745.5593,11.8210
"2024-07-15 12:00:03.300",66,4.4018,0.5442,-0.2073,25.1964,744.7973,12.2373
"2024-07-15 12:00:03.350",67,3.9345,-0.1662,0.1392,24.6975,747.3305,11.4651
"2024-07-15 12:00:03.400",68,3.6729,0.2856,-0.0284,25.1643,751.8096,12.6603
"2024-07-15 12:00:03.450",69,3.8286,-0.0954,0.1601,24.8343,755.5730,12.1917
"2024-07-15 12:00:03.500",70,3.9344,0.2698,0.2927,26.0385,750.3469,12.0801
"2024-07-15 12:00:03.550",71,4.5381,0.0309,0.0500,24.9871,751.5695,11.5833
"2024-07-15 12:00:03.600",72,3.2052,-0.2146,-0.1676,24.7707,748.5340,12.9686
"2024-07-15 12:00:03.650",73,4.5530,0.0076,0.0522,24.7965,748.5782,12.0927
"2024-07-15 12:00:03.700",74,4.3096,0.1321,0.1596,24.4290,750.0317,13.2988
"2024-07-15 12:00:03.750",75,4.1115,0.4866,0.0137,25.2904,749.7161,11.9148
"2024-07-15 12:00:03.800",76,3.6103,0.2861,-0.1277,25.3328,755.4264,12.1833
"2024-07-15 12:00:03.850",77,3.8569,0.2908,-0.0463,25.4678,740.8430,11.8322
"2024-07-15 12:00:03.900",78,3.0046,-0.0990,0.2046,25.4476,746.4026,11.2487
"2024-07-15 12:00:03.950",79,2.5177,0.0913,0.3631,25.2174,747.2021,12.2325
"2024-07-15 12:00:04.000",80,3.2195,0.1405,0.0149,24.9569,753.9540,12.1723
"2024-07-15 12:00:04.050",81,4.3342,0.0623,0.1347,25.8145,745.1493,11.5562
"2024-07-15 12:00:04.100",82,4.6679,0.1617,0.2106,24.7787,757.2752,12.0657
"2024-07-15 12:00:04.150",83,4.1291,0.5129,-0.0543,24.5294,747.7572,12.2262
"2024-07-15 12:00:04.200",84,3.2171,0.3275,-0.0808,25.5739,738.0287,11.6067
"2024-07-15 12:00:04.250",85,3.1568,0.0348,0.0371,24.9104,748.7331,11.9204
"2024-07-15 12:00:04.300",86,4.1017,-0.0017,0.1060,25.3313,751.9252,12.2783
"2024-07-15 12:00:04.350",87,4.1482,0.6070,-0.0131,24.8465,746.2324,11.4839
"2024-07-15 12:00:04.400",88,3.3778,0.0222,-0.0106,25.1671,750.2557,11.6172
"2024-07-15 12:00:04.450",89,4.4501,0.3479,-0.0239,24.6735,752.7421,12.0940
"2024-07-15 12:00:04.500",90,3.2759,0.1864,0.0393,24.5502,750.9492,11.2726
"2024-07-15 12:00:04.550",91,4.6681,0.4496,-0.0379,25.1817,737.9504,11.4218
"2024-07-15 12:00:04.600",92,3.8531,-0.0144,0.1072,25.9986,744.1169,11.5813
"2024-07-15 12:00:04.650",93,4.1177,0.5222,-0.1834,25.1245,759.1065,11.1741
"2024-07-15 12:00:04.700",94,3.3595,0.1153,-0.0781,25.4063,751.2083,11.1125
"2024-07-15 12:00:04.750",95,4.2577,0.0845,0.1912,24.6862,746.8169,12.2706
"2024-07-15 12:00:04.800",96,4.3815,0.2896,-0.2528,25.2690,744.8285,12.1176
"2024-07-15 12:00:04.850",97,3.2881,0.2893,-0.1210,24.3587,753.5691,12.1208
"2024-07-15 12:00:04.900",98,3.6930,0.4902,-0.0661,25.0161,751.3446,11.6902
"2024-07-15 12:00:04.950",99,4.2356,0.0933,-0.0617,25.6813,744.7971,10.7936
"2024-07-15 12:00:05.000",100,4.8055,0.7099,-0.0608,24.0316,748.4476,11.8569
"2024-07-15 12:00:05.050",101,3.9050,-0.0227,0.0869,25.2623,742.5280,12.3496
"2024-07-15 12:00:05.100",102,5.0263,0.2344,-0.0506,24.9290,753.0763,11.1347
"2024-07-15 12:00:05.150",103,4.0822,0.1219,0.2772,24.9129,758.3394,11.4481
"2024-07-15 12:00:05.200",104,4.2936,0.2639,-0.1304,25.0887,756.0626,11.8381
"2024-07-15 12:00:05.250",105,3.1540,0.1965,-0.1354,24.8288,749.5921,11.1472
"2024-07-15 12:00:05.300",106,3.1922,0.2964,-0.0784,23.7176,753.9242,12.1362
"2024-07-15 12:00:05.350",107,3.6431,-0.0634,0.1254,25.1747,761.9130,12.2101
"2024-07-15 12:00:05.400",108,4.1939,0.1666,0.1225,25.3125,756.2586,11.7393
"2024-07-15 12:00:05.450",109,3.7823,0.1042,0.1186,25.7492,747.7058,11.7876
"2024-07-15 12:00:05.500",110,4.1570,0.1508,0.1428,23.8741,745.8665,11.6088
"2024-07-15 12:00:05.550",111,2.8398,0.0073,-0.1373,24.8994,755.5648,11.8775
"2024-07-15 12:00:05.600",112,3.4846,0.1886,0.1574,24.5120,745.4471,12.2793
"2024-07-15 12:00:05.650",113,3.8892,0.3295,-0.0020,25.3508,744.8246,11.9940
"2024-07-15 12:00:05.700",114,3.8947,-0.0432,-0.2345,25.3429,748.2452,11.4889
"2024-07-15 12:00:05.750",115,3.9519,0.4256,-0.3421,24.2517,745.3856,12.7306
"2024-07-15 12:00:05.800",116,4.1413,0.3535,-0.1710,24.4402,752.2391,12.0291
"2024-07-15 12:00:05.850",117,4.2744,0.1625,0.0417,25.0791,753.8888,12.4035
"2024-07-15 12:00:05.900",118,3.1901,-0.2495,0.1503,25.5939,744.8969,11.0701
"2024-07-15 12:00:05.950",119,4.0495,0.3862,0.2696,25.2581,748.1414,11.5534
"2024-07-15 12:00:06.000",120,4.0057,0.1401,-0.1523,26.0244,758.9258,12.5680
"2024-07-15 12:00:06.050",121,3.5396,0.3710,0.0959,25.2213,756.2483,12.3177
"2024-07-15 12:00:06.100",122,4.3700,0.3274,0.0511,24.1082,750.4181,11.7219
"2024-07-15 12:00:06.150",123,3.3601,0.5364,0.2593,25.6796,751.2761,12.6753
"2024-07-15 12:00:06.200",124,4.0060,0.2406,-0.1640,25.1985,750.3019,11.3487
"2024-07-15 12:00:06.250",125,3.9744,0.1841,0.2696,25.4471,750.0572,12.1244
"2024-07-15 12:00:06.300",126,4.0221,0.1594,-0.1624,24.9245,746.2695,11.3748
"2024-07-15 12:00:06.350",127,4.2556,0.2783,-0.2680,24.9387,754.9785,12.5296
"2024-07-15 12:00:06.400",128,4.5129,0.2078,-0.1268,24.4582,751.7230,12.1896
"2024-07-15 12:00:06.450",129,4.6437,0.4200,-0.0198,24.3779,748.4045,12.1086
"2024-07-15 12:00:06.500",130,3.8990,0.0844,0.0379,24.7480,746.8597,12.1557
"2024-07-15 12:00:06.550",131,3.7990,0.2488,0.0410,24.4303,747.5938,12.7189
"2024-07-15 12:00:06.600",132,3.4190,-0.2233,-0.2793,25.0146,750.1546,11.9412
"2024-07-15 12:00:06.650",133,4.6071,-0.3346,0.0594,25.7807,744.3611,11.8101
"2024-07-15 12:00:06.700",134,3.6236,0.0211,-0.0489,25.7137,759.1869,11.8320
"2024-07-15 12:00:06.750",135,4.9525,0.2071,0.2631,24.9534,750.6553,12.1827
"2024-07-15 12:00:06.800",136,5.5894,0.3703,-0.1061,25.4845,748.1908,11.7551
"2024-07-15 12:00:06.850",137,4.4543,0.2062,0.0418,25.0070,751.6829,12.2125
"2024-07-15 12:00:06.900",138,3.0315,0.3333,-0.1473,24.2789,749.7079,12.0420
"2024-07-15 12:00:06.950",139,3.6532,0.3662,-0.2013,24.7965,747.0756,11.9767
"2024-07-15 12:00:07.000",140,4.1394,-0.0016,0.1086,25.0315,740.5403,11.0207
"2024-07-15 12:00:07.050",141,3.9938,0.1558,-0.0155,24.9860,751.1278,12.4738
"2024-07-15 12:00:07.100",142,3.4444,-0.0344,-0.1640,25.1445,756.2247,11.7843
"2024-07-15 12:00:07.150",143,2.7492,-0.1408,-0.1250,24.7211,747.9581,12.0193
"2024-07-15 12:00:07.200",144,3.8441,0.4099,-0.1014,24.5688,752.3944,11.2322
"2024-07-15 12:00:07.250",145,4.1948,0.2205,-0.0221,25.7941,746.8890,13.0301
"2024-07-15 12:00:07.300",146,3.8873,-0.0554,0.0105,24.4619,746.2412,12.1985
"2024-07-15 12:00:07.350",147,4.2778,0.0756,0.1481,25.5788,757.1815,12.2647
"2024-07-15 12:00:07.400",148,4.6817,-0.1762,-0.0477,24.5665,750.5961,11.7143
"2024-07-15 12:00:07.450",149,3.9169,0.5764,-0.0255,25.2069,748.8387,12.0379
"2024-07-15 12:00:07.500",150,4.0030,0.2897,0.1748,25.8237,751.5481,12.2948
"2024-07-15 12:00:07.550",151,3.4246,0.1824,0.1410,25.4330,751.0580,12.4432
"2024-07-15 12:00:07.600",152,4.2454,0.4401,0.0434,24.8222,751.6792,10.5347
"2024-07-15 12:00:07.650",153,4.1914,-0.5297,-0.2585,25.2259,752.3876,11.4188
"2024-07-15 12:00:07.700",154,3.6439,0.4741,-0.0726,26.1215,749.9904,12.2040
"2024-07-15 12:00:07.750",155,4.8084,0.2262,-0.1504,24.9451,749.8219,11.3176
"2024-07-15 12:00:07.800",156,3.8721,0.0516,0.1387,25.0173,748.5860,11.9469
"2024-07-15 12:00:07.850",157,4.1116,0.3234,-0.1500,24.4792,755.5234,11.7938
"2024-07-15 12:00:07.900",158,3.2916,0.2888,0.0695,24.2346,751.1474,12.3678
"2024-07-15 12:00:07.950",159,4.1872,0.3264,-0.2106,25.1655,748.4869,11.7586
"2024-07-15 12:00:08.000",160,4.4353,0.4959,0.2692,25.6574,749.4513,12.1764
"2024-07-15 12:00:08.050",161,4.3834,0.2242,0.0196,25.4119,749.7036,11.6354
"2024-07-15 12:00:08.100",162,3.7928,0.3268,0.0004,25.1701,753.3504,11.8126
"2024-07-15 12:00:08.150",163,4.3781,0.2758,-0.1852,25.7212,747.4963,11.1725
"2024-07-15 12:00:08.200",164,3.4775,-0.0042,0.0078,24.8631,748.3158,12.3099
"2024-07-15 12:00:08.250",165,4.1699,0.2632,0.0615,25.3081,739.4602,11.8178
"2024-07-15 12:00:08.300",166,2.9099,0.2072,-0.0007,25.5228,755.9382,12.1014
"2024-07-15 12:00:08.350",167,3.7498,0.2970,-0.0792,24.9993,754.9307,11.7211
"2024-07-15 12:00:08.400",168,4.4028,0.3355,-0.1432,25.4869,753.4928,12.0510
"2024-07-15 12:00:08.450",169,3.6188,0.0282,-0.0806,25.2713,745.2219,12.2188
"2024-07-15 12:00:08.500",170,3.3791,0.1592,0.0164,26.2226,743.1134,12.7360
"2024-07-15 12:00:08.550",171,4.0749,0.2822,0.0178,25.2224,749.2316,12.7270
"2024-07-15 12:00:08.600",172,3.7718,0.4264,-0.0967,24.9699,744.6402,12.2275
"2024-07-15 12:00:08.650",173,4.7226,0.1845,-0.0295,24.4427,748.8535,11.2036
"2024-07-15 12:00:08.700",174,3.5436,0.2454,0.1979,26.4046,747.0671,12.7177
"2024-07-15 12:00:08.750",175,4.1219,0.1698,0.0649,25.0310,750.5520,11.7958
"2024-07-15 12:00:08.800",176,3.3009,-0.1087,0.0980,24.8616,747.0196,12.0043
"2024-07-15 12:00:08.850",177,4.3975,0.2361,-0.0984,25.6131,757.8959,12.2473
"2024-07-15 12:00:08.900",178,4.4868,0.4484,0.1695,25.3070,752.9917,12.2598
"2024-07-15 12:00:08.950",179,3.4513,0.3401,-0.2034,24.6027,756.5178,12.4201
"2024-07-15 12:00:09.000",180,4.7437,0.1457,-0.1728,24.8798,750.5102,12.0395
"2024-07-15 12:00:09.050",181,4.5668,0.1277,0.0528,24.5057,752.2516,12.0016
"2024-07-15 12:00:09.100",182,3.6251,0.1528,-0.0276,24.8649,758.8567,11.9508
"2024-07-15 12:00:09.150",183,3.8781,-0.2195,-0.1341,24.8685,746.5707,12.6909
"2024-07-15 12:00:09.200",184,3.9175,0.4577,0.0093,25.0186,749.5560,12.0019
"2024-07-15 12:00:09.250",185,4.8594,-0.2639,-0.3002,24.7284,750.0726,12.3451
"2024-07-15 12:00:09.300",186,4.2365,0.1232,0.1529,25.5151,750.9203,12.4813
"2024-07-15 12:00:09.350",187,4.1363,0.0877,0.1047,25.0553,750.0067,12.7365
"2024-07-15 12:00:09.400",188,2.7746,-0.0835,-0.1781,24.8184,748.7270,11.2463
"2024-07-15 12:00:09.450",189,3.5074,0.0278,0.3686,25.9009,747.9413,11.8182
"2024-07-15 12:00:09.500",190,3.4254,-0.1816,-0.0175,24.5011,749.5757,11.1999
"2024-07-15 12:00:09.550",191,3.6190,0.2297,0.0549,25.2087,743.3976,12.4273
"2024-07-15 12:00:09.600",192,3.5999,0.3266,-0.0016,24.3118,748.4190,12.1827
"2024-07-15 12:00:09.650",193,4.3065,0.1718,0.2298,25.5038,748.7167,12.3751
"2024-07-15 12:00:09.700",194,4.9669,0.5921,-0.1842,24.5367,757.4246,11.4709
"2024-07-15 12:00:09.750",195,3.3387,0.1028,0.0630,24.9488,746.7472,11.6629
"2024-07-15 12:00:09.800",196,3.6438,0.0241,0.3422,25.1488,754.4338,11.7555
"2024-07-15 12:00:09.850",197,3.9070,0.0573,-0.3978,24.3110,740.9469,10.8751
"2024-07-15 12:00:09.900",198,3.4023,0.4650,-0.0067,25.6453,752.0549,12.3913
"2024-07-15 12:00:09.950",199,3.5496,0.3048,0.1093,24.7117,752.7977,12.2831
"2024-07-15 12:00:10.000",200,3.7252,-0.0246,-0.1776,25.0433,751.6350,11.6037
"2024-07-15 12:00:10.050",201,4.0133,0.3141,0.0927,25.7759,756.3849,11.4994
"2024-07-15 12:00:10.100",202,4.8418,0.0938,0.1567,25.0340,747.9393,11.0962
"2024-07-15 12:00:10.150",203,3.9142,-0.1119,0.1451,25.7584,746.0154,12.1510
"2024-07-15 12:00:10.200",204,3.6373,0.0743,0.1162,24.9807,758.6982,11.7589
"2024-07-15 12:00:10.250",205,4.4997,0.2195,0.1194,24.7764,749.7522,11.9423
"2024-07-15 12:00:10.300",206,3.5820,0.3324,0.0975,25.2968,757.6848,12.7247
"2024-07-15 12:00:10.350",207,3.8125,0.2746,-0.0935,25.0117,747.0013,12.8100
"2024-07-15 12:00:10.400",208,4.1818,0.1564,0.1790,23.9147,739.9295,12.3979
"2024-07-15 12:00:10.450",209,4.0302,0.2501,-0.1990,24.9884,760.0175,12.4121
"2024-07-15 12:00:10.500",210,4.0849,0.1122,-0.0592,23.9354,751.2882,12.4227
"2024-07-15 12:00:10.550",211,3.2122,0.0677,-0.1736,24.5173,750.2674,10.9578
"2024-07-15 12:00:10.600",212,4.3071,0.3508,-0.0377,23.7596,745.0179,12.6165
"2024-07-15 12:00:10.650",213,2.6110,0.1305,-0.1770,25.4023,746.6244,12.2020
"2024-07-15 12:00:10.700",214,4.2827,0.5672,-0.0304,25.1880,742.5747,12.5952
"2024-07-15 12:00:10.750",215,3.6197,0.0878,-0.0033,24.2186,751.1439,12.4837
"2024-07-15 12:00:10.800",216,4.1465,-0.1178,-0.0186,25.3710,740.6101,11.4626
"2024-07-15 12:00:10.850",217,4.4383,0.2540,0.0618,25.9297,752.3428,12.3289
"2024-07-15 12:00:10.900",218,5.3554,0.1572,-0.1197,25.2139,752.1950,11.7366
"2024-07-15 12:00:10.950",219,3.4838,0.6620,0.0490,24.6339,754.5797,11.9454
"2024-07-15 12:00:11.000",220,3.8736,0.3125,-0.1938,25.1763,759.5648,12.2331
"2024-07-15 12:00:11.050",221,3.8119,0.0986,-0.0616,24.8730,748.1110,12.4582
"2024-07-15 12:00:11.100",222,3.1334,0.3724,-0.0570,25.1885,744.3651,12.6643
"2024-07-15 12:00:11.150",223,4.6228,0.3919,-0.2272,25.4146,752.0243,11.1974
"2024-07-15 12:00:11.200",224,3.9879,0.2729,0.0834,25.0886,751.4562,12.7368
"2024-07-15 12:00:11.250",225,4.6130,-0.3734,-0.0476,24.9177,741.2395,12.0471
"2024-07-15 12:00:11.300",226,4.6244,-0.0173,0.0505,24.5421,746.6404,12.7387
"2024-07-15 12:00:11.350",227,3.7287,0.2924,-0.2807,25.9312,753.0133,11.9088
"2024-07-15 12:00:11.400",228,4.2878,-0.0820,0.1774,24.8380,748.9797,11.7542
"2024-07-15 12:00:11.450",229,3.7097,0.3389,0.0384,25.3259,749.9560,12.2566
"2024-07-15 12:00:11.500",230,3.7906,0.6459,-0.2352,25.6305,756.8395,11.5739
"2024-07-15 12:00:11.550",231,5.1146,0.3991,0.1457,25.0140,748.9139,11.8953
"2024-07-15 12:00:11.600",232,4.1953,0.4802,0.0272,24.5443,754.1221,12.4606
"2024-07-15 12:00:11.650",233,4.3273,0.3491,-0.0406,24.5355,745.6590,11.1823
"2024-07-15 12:00:11.700",234,4.1185,0.1833,-0.0660,23.5222,743.7634,12.5604
"2024-07-15 12:00:11.750",235,3.6677,0.2721,-0.2086,25.7194,749.2799,12.1450
"2024-07-15 12:00:11.800",236,5.1629,0.5033,-0.0460,24.7034,748.3723,12.2549
"2024-07-15 12:00:11.850",237,3.9474,0.1210,0.2201,24.9429,761.4979,12.0454
"2024-07-15 12:00:11.900",238,4.8927,0.2715,0.1444,24.6377,745.7312,12.2299
"2024-07-15 12:00:11.950",239,4.4943,0.2081,-0.1930,24.3199,742.8643,11.1162
"2024-07-15 12:00:12.000",240,4.0547,0.4250,-0.0020,23.8698,749.0462,11.9186
"2024-07-15 12:00:12.050",241,5.0480,-0.0914,-0.0586,25.8529,752.2499,12.2817
"2024-07-15 12:00:12.100",242,4.0573,0.2660,0.1166,24.5953,754.3903,11.3135
"2024-07-15 12:00:12.150",243,4.1642,0.2357,-0.0924,24.9887,746.8873,11.4641
"2024-07-15 12:00:12.200",244,3.8232,-0.0208,0.0484,24.4250,753.5599,11.4093
"2024-07-15 12:00:12.250",245,3.7169,0.0751,0.1988,25.1651,748.9413,12.2494
"2024-07-15 12:00:12.300",246,2.9464,0.1914,0.2996,25.0662,750.3396,12.2741
"2024-07-15 12:00:12.350",247,4.4478,-0.1995,-0.2523,25.1051,746.4256,12.6560
"2024-07-15 12:00:12.400",248,3.8424,-0.1869,-0.1902,23.6252,748.8294,11.9058
"2024-07-15 12:00:12.450",249,3.7878,0.4158,0.1798,24.9148,739.3265,12.3086
"2024-07-15 12:00:12.500",250,4.2777,0.2619,0.1472,24.4176,760.0438,11.5203
"2024-07-15 12:00:12.550",251,4.3746,-0.1375,-0.1395,25.7582,748.6955,12.4200
"2024-07-15 12:00:12.600",252,4.1185,0.1790,0.2046,24.8817,741.0963,11.5984
"2024-07-15 12:00:12.650",253,4.2756,0.2791,-0.2351,24.6378,747.0914,11.8173
"2024-07-15 12:00:12.700",254,3.3120,0.0743,-0.1093,25.3858,754.0456,11.9271
"2024-07-15 12:00:12.750",255,3.8040,0.2280,-0.1225,24.4266,745.2989,11.6826
"2024-07-15 12:00:12.800",256,3.4183,0.2324,0.1095,24.2065,750.1256,11.8900
"2024-07-15 12:00:12.850",257,4.1708,0.1974,-0.2180,24.3688,750.1471,12.5144
"2024-07-15 12:00:12.900",258,2.8929,0.2691,0.1784,24.9235,752.7510,11.6485
"2024-07-15 12:00:12.950",259,3.9403,-0.1242,-0.3517,25.4714,745.0750,11.7722
"2024-07-15 12:00:13.000",260,3.3068,-0.0820,-0.0261,24.6352,751.8899,12.2263
"2024-07-15 12:00:13.050",261,4.1604,0.2477,0.2367,24.4662,749.7253,12.5663
"2024-07-15 12:00:13.100",262,4.6323,-0.0844,-0.0469,25.6791,752.5404,12.0976
"2024-07-15 12:00:13.150",263,3.8912,0.1232,0.0432,24.8738,749.7871,12.0393
"2024-07-15 12:00:13.200",264,3.6610,0.3064,0.4371,24.1115,751.6201,11.6199
"2024-07-15 12:00:13.250",265,4.2887,0.2093,0.1143,25.5878,750.9621,12.5660
"2024-07-15 12:00:13.300",266,2.8279,0.5181,0.0563,25.5389,743.9006,11.5846
"2024-07-15 12:00:13.350",267,4.0730,0.1966,0.0425,25.5423,741.1739,12.4869
"2024-07-15 12:00:13.400",268,4.0041,0.1592,-0.2207,25.2515,737.9295,12.3242
"2024-07-15 12:00:13.450",269,3.2539,0.2107,-0.0179,25.5848,749.1067,11.6529
"2024-07-15 12:00:13.500",270,3.7467,0.4546,0.0804,24.8072,748.8178,11.2164
"2024-07-15 12:00:13.550",271,4.1942,-0.1520,0.1128,25.0643,761.9348,11.4499
"2024-07-15 12:00:13.600",272,3.9487,0.5597,0.1787,24.6519,751.1198,12.0010
"2024-07-15 12:00:13.650",273,4.1410,0.0603,-0.0134,24.2010,750.6756,12.2250
"2024-07-15 12:00:13.700",274,3.8863,-0.1230,0.1483,25.1823,746.3699,11.8597
"2024-07-15 12:00:13.750",275,3.2497,-0.0051,-0.0807,25.6142,746.8025,12.3201
"2024-07-15 12:00:13.800",276,3.7308,0.2496,-0.0212,25.4365,747.3259,11.2137
"2024-07-15 12:00:13.850",277,3.3090,0.0936,-0.1874,25.2051,747.6712,13.1873
"2024-07-15 12:00:13.900",278,3.1311,0.2407,-0.1692,24.7533,750.7071,10.8373
"2024-07-15 12:00:13.950",279,4.1184,0.5806,-0.0680,25.1299,755.1246,11.9180
"2024-07-15 12:00:14.000",280,3.7095,-0.2551,0.0961,24.9434,744.9366,12.0633
"2024-07-15 12:00:14.050",281,3.7082,0.0943,0.0909,24.3308,755.2366,11.3012
